id;date;exercise;meals;alcohol;notes
1;2019-07-23;61838;19967;38246;Planner Canyon
2;2019-07-23;60754;68030;17052;Small Frozen Sausages Planner
3;2019-07-23;38541;30461;1596;Public-key
4;2019-07-23;44015;68326;12203;Buckinghamshire Games
5;2019-07-23;39106;25877;18223;copy convergence
6;2019-07-23;54671;56770;18485;Facilitator
7;2019-07-23;44975;93949;39515;Communications capacitor archive
8;2019-07-23;19598;52083;4522;software scale interactive
9;2019-07-23;58675;35675;96525;Home Loan Account
10;2019-07-23;14092;29627;80219;Small
